ontology_name,strategy,tool_name,runtime_s,hypothesis_size,hypothesis_class_count,recovery_rate,recovered_set_precision,valid_explanation,timed_out,peak_memory_mb
ore_ont_778,C,AAA,TIMEOUT,,,,,,True,0.14
ore_ont_8719,A,CATS,TIMEOUT,,,,,,True,0.04
ore_ont_8719,A,LETHE,26.636496782302856,1,1,0.0,0.0,True,False,7.95
ore_ont_8719,A,AAA,TIMEOUT,,,,,,True,1.02
ore_ont_8719,B,CATS,TIMEOUT,,,,,,True,0.04
ore_ont_8719,B,LETHE,TIMEOUT,,,,,,True,134.68
ore_ont_8719,B,AAA,TIMEOUT,,,,,,True,1.02
ore_ont_8719,C,CATS,TIMEOUT,,,,,,True,0.04
ore_ont_8719,C,LETHE,TIMEOUT,,,,,,True,129.19
ore_ont_8719,C,AAA,TIMEOUT,,,,,,True,1.02
ore_ont_8948,A,CATS,302.5130569934845,0,0,,,,False,0.3
ore_ont_8948,A,LETHE,1.3439886569976807,1,1,0.0,0.0,True,False,1.06
ore_ont_8948,A,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_8948,B,CATS,170.514573097229,0,0,,,,False,0.31
ore_ont_8948,B,LETHE,4.154693841934204,1,0,,,False,False,10.11
ore_ont_8948,B,AAA,TIMEOUT,,,,,,True,0.19
ore_ont_8948,C,CATS,301.90231108665466,0,0,,,,False,0.3
ore_ont_8948,C,LETHE,4.395950794219971,1,0,,,False,False,10.39
ore_ont_8948,C,AAA,TIMEOUT,,,,,,True,0.2
ore_ont_934,B,CATS,302.01075768470764,0,0,,,,False,0.31
ore_ont_934,B,LETHE,TIMEOUT,,,,,,True,2776.2
ore_ont_934,B,AAA,TIMEOUT,,,,,,True,0.2
